Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
Itens,Cha,Pao,Fruta,Prato Principal,Guarnicao,Sobremesa,Saladas,Opcao Vegana,Prato Principal,Guarnicao,Saladas,Opcao Vegana
2019-08-5,chá de hortelã,pão francês com patê de queijo,banana,moída ao sugo,macarrão na manteiga,melão,acelga e beterraba ralada,soja ao sugo,peixe à milanesa c/ m. tártaro,sopa leve,alface bicolor e tomate,hamburguer de ervilha seca (s/ gluten)
2019-08-6,chá de maçã,pão de hotdog com presunto,melancia,peixe no fubá c/ limão,"brócolis, couve flor e cenoura refogados ",banana,alface e rabanete,tomate recheado com ervilha seca,bife à fantasia,canja,repolho roxo e chuchu,abobrinha recheada c/ feijão branco e milho
2019-08-7,chá de erva-doce,pão francês com doce de leite,laranja,bife à pizzaiolo,purê prático,sagu,repolho e tomate,hambúrguer de f. branco (s/ gluten),frango assado,creme de abóbora com curry,rúcula e natural,croquete de feijão fradinho
2019-08-8,chá de morango,pão milho com patê de cenoura,creme de abacate,cubos de frango c/ bacon e cebola ,chuchu com tempero verde,pudim de chocolate,rúcula e cenoura ralada,PTS acebolada,carne de panela,sopa de lentilha,agrião e macarronese,grão de bico ao sugo
2019-08-9,chá mate,pão francês com doce de banana,melão,ensopado caipira,polenta cremosa, maçã ,agrião e berinjela,grão de bico caipira,empadão de frango ,sopa creme rio branco ,almeirão e beterraba cozida,PTS (c/ os mesmos legumes do empadão)
2019-08-10,chá de erva-cidreira,pão hotdog com queijo,murgote ,frango ao curry,batata doce sautée,GELATINA DE LIMÃO,almeirão e salpicão ,feijão fradinho ao curry,panqueca de carne,sopa califórnia c/arroz,escarola e rabanete,panqueca de feijão cavalo
2019-08-11,chá de camomila,pão milho com presunto,abacaxi,posta ao molho,legumes ao m. branco,mamão,escarola e abobrinha ao vinagrete,bolinho de feijão cavalo,bisteca acebolada,sopa campestre,alface americana e tomate,trigo em grão acebolado
2019-08-12,chá de maçã,pão de hotdog com queijo,mamão,bisteca à cigana,repolho refogado,laranja,alface e cenoura ralada,trigo em grão à cigana,bife à espanhola,sopa da casa,radite e beterraba ralada,hamburguer de PTS
2019-08-13,chá de erva-cidreira,pão francês com patê de frango,banana,bife acebolado,jardineira de legumes,torta de amendoim,radite e tomate,mix de grãos acebolado,strogonoff de frango,batata chips,acelga e cenoura cozida,strogonoff de grão de bico
2019-08-14,chá de morango,pão de milho com presunto,salada de frutas,frango xadrez,berinjela à milanesa,murgote,acelga e rabanete,grão de bico xadrez,Bife à milanesa,sopa de aipim,couve manteiga e abobrinha ralada,charuto de lentilha
2019-08-15,chá de camomila,pão francês com doce de abóbora,abacaxi,Bife à rolê,Batata sautée,banana,couve manteiga e pepino,feijão branco ao sugo,frango com alecrim,sopa londrina,repolho bicolor e tomate,bolinho de feijão cavalo
2019-08-16,chá de erva-doce,pão hotdog com patê de presunto,laranja,frango crocante ,abobrinha refogada ,Gelatina miscelânea ,repolho roxo e chuchu,croquete de lentilha (s/ gluten),barreado,sopa minestroni II,alface americana e rabanete,barreado de soja
2019-08-17,chá de hortelã,pão de milho com geléia,melão,goulash,bolinho de arroz,maçã,alface americana e tomate,goulash de soja,copa lombo ao m. oriental,sopa de fubá,rúcula e maionese,ervilha seca ao m. oriental
2019-08-18,chá mate,pão hotdog com queijo,maçã ,lombo com abacaxi,farofa completa,pudim de chocolate,rúcula e lisboa pepino c/ azeitona,ervilha seca c/ couve-flor,BIFE acebolado,sopa creme de espinafre,Escarola e beterraba ralada,FEIJÃO CAVALO ACEBOLADO
2019-08-19,chá de erva cidreira,Pão francês com patê de ervas,banana,bife à fantasia, quirera c/ costelinha,melão,escarola e beterraba ralada,hamburguer de f. cavalo,cubos de frango acebolado,sopa de feijão,agrião e cenoura ralada,bolinho de lentilha
2019-08-20,chá de camomila,pão hotdog com doce de banana,murgot,filé de frango à canadense,abóbora refogada,gelatina de uva,agrião e rabanete,tomate recheado com lentilha ,QUIBE DE FORMA ASSADO,sopa juliana,mix de alface e abobrinha cozida com vinagrete,panqueca de PTS 
2019-08-21,chá de hortelã,pão francês com queijo,maçã,moída refogada,Macarrão ao sugo,kiwi,alface e cenoura ralada,PTS refogada,peixe à milanesa c/ limão,sopa de legumes c/ carne,acelga e beterraba ralada,torre de berinjela com ervilha seca
2019-08-22,chá de maçã,pão de milho com presunto,mamão,peixe à milanesa c/ m. rosê,chuchu c/ cenoura refogados ,laranja ,acelga e tomate,nuggets de feijão fradinho s/ glúten,ensopado caipira,creme de cebola,couve manteiga e rabanete,ensopado de grão de bico
2019-08-23,chá mate,pão francês com doce de  abacaxi,melão,picadinho de carne,aipim com TV,gelflan,couve manteiga e pepino,grão de bico com brócolis ,frango ao m. curry,sopa hungara,rúcula e chuchu,abobrinha recheada c/ f. fradinho ao curry
2019-08-24,chá de erva doce,pão hotdog com queijo,salada de frutas,frango ao m. oriental,creme de espinafre,maçã,rúcula e abobrinha cozida,trigo em grão ao m. oriental, ROCAMBOLE DE CARNE ,caldo italiano,repolho e tomate,quibe de PTS com abóbora
2019-08-25,chá de morango,pão hotdog com patê de azeitona,laranja,posta recheada,vagem refogada ,sagu ,repolho e berinjela na chapa,Feijão branco c/ floretes de couve-flor e brócolis ,bife à gaúcha,sopa primavera,almeirão e  sal. russa,hamburguer de f. cavalo
2019-08-26,chá de camomila,pão hotdog com presunto,maçã,churrasco,virado de cenoura,Laranja,alface e tomate,Ervilha seca c/ legumes,Copa lombo à cigana ,sopa Raízes,escarola e brócolis c/ couve flor ,soja à cigana
2019-08-27,chá de morango,pão francês com doce de leite,mamão,Bife suíno acebolado (copa lombo),ratatoulle ,Gelatina de limão,escarola e cenoura cozida,soja acebolada ,frango o m. laranja,creme de ervilha,alface roxa e pepino,chuchu rech c/ grão de bico m. laranja
2019-08-28,chá de erva-doce,pão de milho com patê de frango,kiwi,frango ao sugo,polenta cremosa, Sal. de frutas c/ abacaxi,alface americana e beterraba ralada,Almôndega de grão de bico ao sugo,bife à rolê,sopa caipira ,agrião e tropical,berinjela à role (f. branco)
2019-08-29,chá mate,pão hotdog com queijo,melão,bife à milanesa,repolho refogado ,Banana,agrião e pepino,hamburguer de f. branco,frango xadrez,Sopa creme de milho,almeirão e tomate,trigo em grão xadrez
2019-08-30,chá de erva-cidreira,pão francês com doce de maçã,abacaxi,filé ao m. mostarda,batata amassada ,Pudim de brigadeiro,almeirão e abobrinha cozida,trigo em grão na mostarda,moída ao sugo,Sopa mineira,acelga e caipira ,PTS ao sugo
2019-08-31,chá de hortelã,pão hotdog com patê de cenoura,banana,lasanha de carne,Refogado de vagem com cenoura,Mamão fatiado,acelga e lisboa,lasanha de PTS,peixe assado,sopa eslava,couve manteiga e chuchu coz.c/ vinagrete,panqueca de lentilha
